Commodity,Planted All Purpose Acres,Harvested Acres,Yield,Production,Price per Unit,Value of Production in Dollars
"CORN, GRAIN",,"320,000",164 BU / ACRE,"52,480,000 BU",5.3 $ / BU,"278,144,000"
"CORN, SILAGE",,"4,000",16 TONS / ACRE,"64,000 TONS",,
CORN,"330,000",,,,,
"COTTON, UPLAND","380,000","374,000",937 LB / ACRE,"730,000 480 LB BALES",0.683 $ / LB,"234,406,000"
"COTTON, COTTONSEED",,,,"206,000 TONS",180 $ / TON,"36,720,000"
COTTON,"380,000","374,000",937 LB / ACRE,"730,000 480 LB BALES",,
"HAY, (EXCL ALFALFA)",,"680,000",2.6 TONS / ACRE,"1,768,000 TONS",116 $ / TON,"205,088,000"
HAY,,"680,000",2.6 TONS / ACRE,"1,768,000 TONS",116 $ / TON,"205,088,000"
"HAY & HAYLAGE, (EXCL ALFALFA)",,,,,,"205,088,000"
HAY & HAYLAGE,,,,,,"205,088,000"
SOYBEANS,"350,000","345,000",43 BU / ACRE,"14,835,000 BU",13.2 $ / BU,"195,822,000"
PEANUTS,"175,000","171,000","2,810 LB / ACRE","480,510,000 LB",0.249 $ / LB,"119,647,000"
"WHEAT, WINTER","205,000","145,000",75 BU / ACRE,"10,875,000 BU",6.45 $ / BU,"70,144,000"
WHEAT,"205,000","145,000",75 BU / ACRE,"10,875,000 BU",6.45 $ / BU,"70,144,000"
"BEDDING PLANTS, ANNUAL",,,,,,
"FLOWERING PLANTS, POTTED, INDOOR USE, POTS",,,,,,
"FOLIAGE PLANTS, INDOOR USE",,,,,,
"PROPAGATIVE MATERIAL, FLORICULTURE",,,,,,
"BEDDING PLANTS, HERBACEOUS PERENNIAL",,,,,,
