Commodity,Planted All Purpose Acres,Harvested Acres,Yield,Production,Price per Unit,Value of Production in Dollars
"HAY, (EXCL ALFALFA)",,"20,000",1.4 TONS / ACRE,"28,000 TONS",450 $ / TON,"12,600,000"
HAY,,"20,000",1.4 TONS / ACRE,"28,000 TONS",450 $ / TON,"12,600,000"
"HAY & HAYLAGE, (EXCL ALFALFA)",,,,,,"12,600,000"
HAY & HAYLAGE,,,,,,"12,600,000"
BARLEY,"7,000","6,000",38 BU / ACRE,"228,000 BU",5.7 $ / BU,"1,300,000"
"FLOWERING PLANTS, POTTED, INDOOR USE, POTS",,,,,,
"BEDDING PLANTS, ANNUAL",,,,,,
CUT FLOWERS,,,,,,
"FOLIAGE PLANTS, INDOOR USE",,,,,,
"BEDDING PLANTS, HERBACEOUS PERENNIAL",,,,,,
