Commodity,Planted All Purpose Acres,Harvested Acres,Yield,Production,Price per Unit,Value of Production in Dollars
"GRAPES, UTILIZED",,,,"5,569,950 TONS",,"6,524,474,000"
"GRAPES, PROCESSING",,,,"4,848,050 TONS",997 $ / TON,"4,835,228,000"
"GRAPES, FRESH MARKET",,,,"721,900 TONS","2,340 $ / TON","1,689,246,000"
GRAPES,,"820,000",6.79 TONS / ACRE,"5,570,000 TONS","1,170 $ / TON",
"ALMONDS, UTILIZED, SHELLED",,,,"2,470,000,000 LB",,"3,880,240,000"
"ALMONDS, UTILIZED",,,"1,790 LB / ACRE",,,
ALMONDS,,"1,380,000",,,1.64 $ / LB,
"PISTACHIOS, UTILIZED, IN SHELL",,,,"1,490,000,000 LB",,"2,980,000,000"
"PISTACHIOS, UTILIZED",,,"3,220 LB / ACRE","745,000 TONS",,
PISTACHIOS,,"462,000",,,2 $ / LB,
STRAWBERRIES,"43,100","42,700",575 CWT / ACRE,"24,600,000 CWT",121 $ / CWT,"2,965,387,000"
"STRAWBERRIES, UTILIZED",,,,"24,575,400 CWT",,
"STRAWBERRIES, PROCESSING",,,,,(D) $ / CWT,(D)
"STRAWBERRIES, FRESH MARKET",,,,,(D) $ / CWT,(D)
"TOMATOES, IN THE OPEN","286,000","271,900",970 CWT / ACRE,"263,743,000 CWT",,"2,264,695,000"
"TOMATOES, FRESH MARKET",,,,,(D) $ / CWT,
"TOMATOES, IN THE OPEN, UTILIZED",,,,"261,633,100 CWT",,
"TOMATOES, PROCESSING",,,,,(D) $ / TON,
TOMATOES,,,,,8.66 $ / CWT,
"TOMATOES, IN THE OPEN, FRESH MARKET",,,,,,(D)
"TOMATOES, IN THE OPEN, PROCESSING",,,,,,(D)
"LETTUCE, ROMAINE","106,600","106,400",315 CWT / ACRE,"33,516,000 CWT",49.3 $ / CWT,"1,652,339,000"
"LETTUCE, ROMAINE, FRESH MARKET",,,,,49.3 $ / CWT,"1,652,339,000"
"LETTUCE, LEAF, FRESH MARKET",,,,,73.6 $ / CWT,"1,145,032,000"
"LETTUCE, LEAF","64,300","63,500",245 CWT / ACRE,"15,557,500 CWT",73.6 $ / CWT,"1,145,032,000"
"LETTUCE, HEAD, FRESH MARKET",,,,,34.6 $ / CWT,"1,133,496,000"
"LETTUCE, HEAD","93,700","93,600",350 CWT / ACRE,"32,760,000 CWT",34.6 $ / CWT,"1,133,496,000"
"LETTUCE, ROMAINE, UTILIZED",,,,"33,516,000 CWT",,
"LETTUCE, LEAF, UTILIZED",,,,"15,557,500 CWT",,
"LETTUCE, HEAD, UTILIZED",,,,"32,760,000 CWT",,
RICE,"515,000","512,000","8,590 LB / ACRE","43,971,000 CWT",33.4 $ / CWT,"1,468,631,000"
HAY & HAYLAGE,,"965,000","5.58 TONS / ACRE, DRY BASIS","5,382,000 TONS, DRY BASIS",,"1,274,250,000"
"HAY & HAYLAGE, ALFALFA","70,000","510,000","6.54 TONS / ACRE, DRY BASIS","3,337,000 TONS, DRY BASIS",,"850,935,000"
"HAY & HAYLAGE, (EXCL ALFALFA)",,"455,000","4.49 TONS / ACRE, DRY BASIS","2,045,000 TONS, DRY BASIS",,"423,315,000"
CARROTS,"54,500","54,500",395 CWT / ACRE,"21,527,500 CWT",56.4 $ / CWT,"1,213,700,000"
"CARROTS, UTILIZED",,,,"21,527,500 CWT",,
"CARROTS, FRESH MARKET",,,,,(D) $ / CWT,(D)
"CARROTS, PROCESSING",,,,,(D) $ / TON,(D)
HAY,,"830,000",5.15 TONS / ACRE,"4,275,000 TONS",245 $ / TON,"1,034,685,000"
"HAY, ALFALFA",,"480,000",6.5 TONS / ACRE,"3,120,000 TONS",255 $ / TON,"795,600,000"
"HAY, (EXCL ALFALFA)",,"350,000",3.3 TONS / ACRE,"1,155,000 TONS",207 $ / TON,"239,085,000"
