Commodity,Planted All Purpose Acres,Harvested Acres,Yield,Production,Price per Unit,Value of Production in Dollars
HAY,,"1,220,000",2.56 TONS / ACRE,"3,122,000 TONS",259 $ / TON,"804,424,000"
"HAY, ALFALFA",,"650,000",3.4 TONS / ACRE,"2,210,000 TONS",260 $ / TON,"574,600,000"
"HAY, (EXCL ALFALFA)",,"570,000",1.6 TONS / ACRE,"912,000 TONS",252 $ / TON,"229,824,000"
HAY & HAYLAGE,,,,,,"804,424,000"
"HAY & HAYLAGE, ALFALFA","80,000",,,,,"574,600,000"
"HAY & HAYLAGE, (EXCL ALFALFA)",,,,,,"229,824,000"
"CORN, GRAIN",,"1,015,000",122 BU / ACRE,"123,830,000 BU",5.3 $ / BU,"656,299,000"
"CORN, SILAGE",,"235,000",24.5 TONS / ACRE,"5,758,000 TONS",,
CORN,"1,330,000",,,,,
"WHEAT, WINTER","2,300,000","1,820,000",41 BU / ACRE,"74,620,000 BU",7 $ / BU,"522,340,000"
WHEAT,"2,300,000","1,820,000",41 BU / ACRE,"74,620,000 BU",7 $ / BU,"522,340,000"
POTATOES,"55,000","54,800",385 CWT / ACRE,"21,098,000 CWT",12.8 $ / CWT,"270,054,000"
"SORGHUM, GRAIN",,"460,000",32 BU / ACRE,"14,720,000 BU",6.45 $ / CWT,"53,169,000"
"SORGHUM, SILAGE",,"25,000",14 TONS / ACRE,"350,000 TONS",,
SORGHUM,"510,000",,,,,
BARLEY,"54,000","51,000",131 BU / ACRE,"6,681,000 BU",7.6 $ / BU,"50,776,000"
"MILLET, PROSO","390,000","370,000",31.5 BU / ACRE,"11,655,000 BU",4 $ / BU,"46,620,000"
"PEACHES, UTILIZED",,,,"15,450 TONS",,"43,233,000"
PEACHES,,"2,400",6.5 TONS / ACRE,"15,600 TONS","2,800 $ / TON",
"PEACHES, PROCESSING",,,,(D) TONS,(D) $ / TON,(D)
"PEACHES, FRESH MARKET",,,,(D) TONS,(D) $ / TON,(D)
SUNFLOWER,"34,000","29,000",968 LB / ACRE,"28,060,000 LB",22.3 $ / CWT,"6,264,000"
CUT FLOWERS,,,,,,
"BEDDING PLANTS, ANNUAL",,,,,,
"FLOWERING PLANTS, POTTED, INDOOR USE, POTS",,,,,,
"BEDDING PLANTS, HERBACEOUS PERENNIAL",,,,,,
"PROPAGATIVE MATERIAL, FLORICULTURE",,,,,,
"FOLIAGE PLANTS, INDOOR USE",,,,,,
SUGARBEETS,"23,200","21,300",28.3 TONS / ACRE,"603,000 TONS",,
CUT CULTIVATED GREENS,,,,,,
