Commodity,Planted All Purpose Acres,Harvested Acres,Yield,Production,Price per Unit,Value of Production in Dollars
"TOMATOES, IN THE OPEN","30,000","29,900",300 CWT / ACRE,"8,970,000 CWT",,"493,665,000"
"TOMATOES, FRESH MARKET",,,,,(D) $ / CWT,
"TOMATOES, PROCESSING",,,,,(D) $ / TON,
TOMATOES,,,,,55.1 $ / CWT,
"TOMATOES, IN THE OPEN, UTILIZED",,,,"8,952,100 CWT",,
"TOMATOES, IN THE OPEN, PROCESSING",,,,,,(D)
"TOMATOES, IN THE OPEN, FRESH MARKET",,,,,,(D)
STRAWBERRIES,"14,200","14,100",210 CWT / ACRE,"2,960,000 CWT",147 $ / CWT,"433,556,000"
"STRAWBERRIES, UTILIZED",,,,"2,951,200 CWT",,
"STRAWBERRIES, FRESH MARKET",,,,,(D) $ / CWT,(D)
"STRAWBERRIES, PROCESSING",,,,,(D) $ / CWT,(D)
"MELONS, WATERMELON, FRESH MARKET",,,,,24.4 $ / CWT,"264,252,000"
"MELONS, WATERMELON","28,500","28,500",380 CWT / ACRE,"10,830,000 CWT",24.4 $ / CWT,"264,252,000"
"MELONS, CANTALOUP, UTILIZED",,,,(D) CWT,,
"MELONS, WATERMELON, UTILIZED",,,,"10,830,000 CWT",,
"MELONS, CANTALOUP",(D),(D),(D) CWT / ACRE,(D) CWT,(D) $ / CWT,(D)
"MELONS, CANTALOUP, FRESH MARKET",,,,,(D) $ / CWT,(D)
"MELONS, CANTALOUP, PROCESSING",,,,,(D) $ / TON,(D)
"SWEET CORN, FRESH MARKET",,,,,44.8 $ / CWT,"252,672,000"
SWEET CORN,"50,000","47,000",125 CWT / ACRE,"5,875,000 CWT",44.8 $ / CWT,"252,672,000"
"SWEET CORN, UTILIZED",,,,"5,640,000 CWT",,
POTATOES,"21,000","20,900",300 CWT / ACRE,"6,270,000 CWT",32.7 $ / CWT,"205,029,000"
ORANGES,,"278,300",57 BOXES / ACRE,"137,532,000 $, ON TREE EQUIV","12.49 $ / BOX, PHD EQUIV","197,305,000"
"ORANGES, PROCESSING",,,,"109,431,000 $, ON TREE EQUIV","11.51 $ / BOX, PHD EQUIV","163,345,000"
"ORANGES, FRESH MARKET",,,,"28,101,000 $, ON TREE EQUIV","17.43 $ / BOX, ON TREE EQUIV","33,960,000"
"ORANGES, UTILIZED",,,,"712,000 TONS",,
"PEPPERS, BELL","14,000","13,900",230 CWT / ACRE,"3,197,000 CWT",58.8 $ / CWT,"187,984,000"
"PEPPERS, BELL, FRESH MARKET",,,,,58.8 $ / CWT,"187,984,000"
